rank,filter,grade,name,category,subscribers,views,stats_url,date_scraped,source
1,subs weekly,3.5,Ricis Official,Entertainment,30.5M,623.34K,https://www.noxinfluencer.com/youtube/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,2022-09-15T03:46:07+00Z,noxinfluencer
2,subs weekly,3,AH,Entertainment,30M,881.63K,https://www.noxinfluencer.com/youtube/channel/UCaKLg1ELiX0zTJ6Je3c5esA,2022-09-15T03:46:07+00Z,noxinfluencer
3,subs weekly,3,Jess No Limit,Gaming,24.9M,990.28K,https://www.noxinfluencer.com/youtube/channel/UCvh1at6xpV1ytYOAzxmqUsA,2022-09-15T03:46:07+00Z,noxinfluencer
4,subs weekly,3.5,Rans Entertainment,Entertainment,24.1M,739.36K,https://www.noxinfluencer.com/youtube/channel/UCvA9_f5Lwk-poMynabtrZPg,2022-09-15T03:46:07+00Z,noxinfluencer
5,subs weekly,2,TRANS7 OFFICIAL,Entertainment,23.5M,44.29K,https://www.noxinfluencer.com/youtube/channel/UC24_Z2L-8Ki183AI9zJJzNQ,2022-09-15T03:46:07+00Z,noxinfluencer
6,subs weekly,3,Frost Diamond,Gaming,22.6M,630.57K,https://www.noxinfluencer.com/youtube/channel/UC4hGmH5sABOA70D4fGb8qNQ,2022-09-15T03:46:07+00Z,noxinfluencer
7,subs weekly,2,Indosiar,Entertainment,21.4M,0,https://www.noxinfluencer.com/youtube/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,2022-09-15T03:46:07+00Z,noxinfluencer
8,subs weekly,3,Baim Paula,Entertainment,20.8M,654.43K,https://www.noxinfluencer.com/youtube/channel/UC5xAPCVizxOfnMECMXkal2Q,2022-09-15T03:46:07+00Z,noxinfluencer
9,subs weekly,4.5,Deddy Corbuzier,Entertainment,19.4M,3.77M,https://www.noxinfluencer.com/youtube/channel/UCYk4LJI0Pr6RBDWowMm-KUw,2022-09-15T03:46:07+00Z,noxinfluencer
10,subs weekly,3,BabyBus - Cerita & Lagu Anak-anak,Education,18.5M,795.7K,https://www.noxinfluencer.com/youtube/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,2022-09-15T03:46:07+00Z,noxinfluencer
11,subs weekly,3.5,MiawAug,Gaming,18.3M,765.21K,https://www.noxinfluencer.com/youtube/channel/UC3J4Q1grz46bdJ7NJLd4DGw,2022-09-15T03:46:07+00Z,noxinfluencer
12,subs weekly,3,GEN HALILINTAR,Entertainment,18.1M,512.41K,https://www.noxinfluencer.com/youtube/channel/UCfRNJiafEm1LBBGFTTq4cXw,2022-09-15T03:46:07+00Z,noxinfluencer
13,subs weekly,3,Naisa Alifia Yuriza (N.A.Y),Entertainment,17.9M,1.35M,https://www.noxinfluencer.com/youtube/channel/UCtjFp8VXWIscsqQ2wokpo3Q,2022-09-15T03:46:07+00Z,noxinfluencer
14,subs weekly,4.5,tanboy kun,Entertainment,16.4M,2.09M,https://www.noxinfluencer.com/youtube/channel/UC8rHUssNDJ9YEjfduAqJBmw,2022-09-15T03:46:07+00Z,noxinfluencer
15,subs weekly,1.5,Zuni and Family,People & Blogs,16.4M,632.05K,https://www.noxinfluencer.com/youtube/channel/UCAelPgCHWYyEs8-TFuOVRtg,2022-09-15T03:46:07+00Z,noxinfluencer
16,subs weekly,2,TRANS TV Official,Entertainment,16.1M,1.19K,https://www.noxinfluencer.com/youtube/channel/UCIohHXwCEKxWCLvAguJ-GjA,2022-09-15T03:46:07+00Z,noxinfluencer
17,subs weekly,2.5,Dyland PROS,Gaming,15.5M,88.94K,https://www.noxinfluencer.com/youtube/channel/UCXdmo_q4SawYMz-dmeKEHPQ,2022-09-15T03:46:07+00Z,noxinfluencer
18,subs weekly,2,RCTI - LAYAR DRAMA INDONESIA,Entertainment,15.4M,75.97K,https://www.noxinfluencer.com/youtube/channel/UCzTsWuCdVP_vehWyGwPcS3Q,2022-09-15T03:46:07+00Z,noxinfluencer
19,subs weekly,2,Kerajinan 5-Menit,Howto & Style,15.2M,14.16K,https://www.noxinfluencer.com/youtube/channel/UClIYfCAhMAlacxT0e_sl1uA,2022-09-15T03:46:07+00Z,noxinfluencer
20,subs weekly,2,Like Nastya IDN,Entertainment,15.2M,173.67K,https://www.noxinfluencer.com/youtube/channel/UCui_SuV6CzSgB1bdwL5utzg,2022-09-15T03:46:07+00Z,noxinfluencer
21,subs weekly,3,Daftar Populer,Entertainment,14.6M,82.92K,https://www.noxinfluencer.com/youtube/channel/UCQW2tTNJ40V2T6MqV1eMZ0w,2022-09-15T03:46:07+00Z,noxinfluencer
22,subs weekly,4.5,Arif muhammad,Comedy,14.5M,2.89M,https://www.noxinfluencer.com/youtube/channel/UCfx3oPv3cJm2aCJ7UnhKx8A,2022-09-15T03:46:07+00Z,noxinfluencer
23,subs weekly,2,MNCTV OFFICIAL,Entertainment,13.8M,1.14K,https://www.noxinfluencer.com/youtube/channel/UC34xi8JB1AKSotPUKHywbaA,2022-09-15T03:46:07+00Z,noxinfluencer
24,subs weekly,2,KOMPASTV,News & Politics,13M,4.7K,https://www.noxinfluencer.com/youtube/channel/UC5BMIWZe9isJXLZZWPWvBlg,2022-09-15T03:46:07+00Z,noxinfluencer
25,subs weekly,2,The Shiny Peanut,Entertainment,12.9M,17.07K,https://www.noxinfluencer.com/youtube/channel/UCgiO267R4Qo-SJF2UzH5ccQ,2022-09-15T03:46:07+00Z,noxinfluencer
26,subs weekly,2,BUDI01 GAMING,Gaming,12.7M,1.54M,https://www.noxinfluencer.com/youtube/channel/UC8qp0ZmavLOGeSdLxSUZO8w,2022-09-15T03:46:07+00Z,noxinfluencer
27,subs weekly,0.5,SAAIHALILINTAR,Entertainment,12.6M,401.88K,https://www.noxinfluencer.com/youtube/channel/UCEIdGryox368qWinrZ9eA8A,2022-09-15T03:46:07+00Z,noxinfluencer
28,subs weekly,3,Yudist Ardhana,Entertainment,12M,247.1K,https://www.noxinfluencer.com/youtube/channel/UCvc00uetYIML9D-7BBrEXLA,2022-09-15T03:46:07+00Z,noxinfluencer
29,subs weekly,3,Troom Troom Indonesia,People & Blogs,12M,206.27K,https://www.noxinfluencer.com/youtube/channel/UCtGmhXT_NSTK5j_r9a9xdYA,2022-09-15T03:46:07+00Z,noxinfluencer
30,subs weekly,2,FrontaL Gaming,Gaming,11.7M,371.95K,https://www.noxinfluencer.com/youtube/channel/UCW6fcXU68QShoXPkxnPxATw,2022-09-15T03:46:07+00Z,noxinfluencer
31,subs weekly,3.5,Jessica Jane,Entertainment,10.9M,1.56M,https://www.noxinfluencer.com/youtube/channel/UCFuM3BWlLM3YbLjkXBiJ8-A,2022-09-15T03:46:07+00Z,noxinfluencer
32,subs weekly,2,GNP Music,Music,10.3M,58.9K,https://www.noxinfluencer.com/youtube/channel/UCJYG48dCgMA-p5BVDabi3nQ,2022-09-15T03:46:07+00Z,noxinfluencer
33,subs weekly,3,hasanjr11,Entertainment,10.2M,221.54K,https://www.noxinfluencer.com/youtube/channel/UCgqAMw2V_Ddy4SfmovUTh8Q,2022-09-15T03:46:07+00Z,noxinfluencer
34,subs weekly,2.5,Islam Populer,Education,10.1M,51.66K,https://www.noxinfluencer.com/youtube/channel/UCXhg6jUrkGLiiwk7Zr13SuQ,2022-09-15T03:46:07+00Z,noxinfluencer
35,subs weekly,4,Little Angel Bahasa Indonesia - Lagu Anak,Education,10M,1.35M,https://www.noxinfluencer.com/youtube/channel/UCdrHrQf0o0TO8YDntXJ4VIQ,2022-09-15T03:46:07+00Z,noxinfluencer
36,subs weekly,2.5,SULE PRODUCTIONS,Entertainment,9.96M,443.1K,https://www.noxinfluencer.com/youtube/channel/UCZWk_k207M--sLScrLdM3JQ,2022-09-15T03:46:07+00Z,noxinfluencer
37,subs weekly,3,Raditya Dika,People & Blogs,9.86M,445.07K,https://www.noxinfluencer.com/youtube/channel/UC0rzsIrAxF4kCsALP6J2EsA,2022-09-15T03:46:07+00Z,noxinfluencer
38,subs weekly,2,Ini Talk Show,Comedy,9.86M,171.44K,https://www.noxinfluencer.com/youtube/channel/UCo1CFjot3CX97sn_ngJnGPg,2022-09-15T03:46:07+00Z,noxinfluencer
39,subs weekly,4,GadgetIn,Science & Technology,9.8M,1.8M,https://www.noxinfluencer.com/youtube/channel/UC1dI4tO13ApuSX0QeX8pHng,2022-09-15T03:46:07+00Z,noxinfluencer
40,subs weekly,2,CNN Indonesia,News & Politics,9.73M,3.04K,https://www.noxinfluencer.com/youtube/channel/UCKII0Ml9S5wneKbHswmUrIQ,2022-09-15T03:46:07+00Z,noxinfluencer
41,subs weekly,4.5,Nihongo Mantappu,People & Blogs,9.68M,1.15M,https://www.noxinfluencer.com/youtube/channel/UC1Gmqqs_Myzl2KHIeqfUC9A,2022-09-15T03:46:07+00Z,noxinfluencer
42,subs weekly,3,Nessie Judge,Comedy,9.57M,849.57K,https://www.noxinfluencer.com/youtube/channel/UC_SBt2BFBkExq_azj-P5lNA,2022-09-15T03:46:07+00Z,noxinfluencer
43,subs weekly,2.5,efdewe,Gaming,9.55M,136.55K,https://www.noxinfluencer.com/youtube/channel/UCIWUnAI0GL4LDfCUeOOq7xg,2022-09-15T03:46:07+00Z,noxinfluencer
44,subs weekly,2,tvOneNews,News & Politics,9.42M,12.53K,https://www.noxinfluencer.com/youtube/channel/UCER4rvDnRBPr_ncYW4UCZjg,2022-09-15T03:46:07+00Z,noxinfluencer
45,subs weekly,2.5,LetDa Hyper,Gaming,9.39M,26.69K,https://www.noxinfluencer.com/youtube/channel/UCCsHdU66sCbEtklvSVAGPsQ,2022-09-15T03:46:07+00Z,noxinfluencer
46,subs weekly,3,Lagu Anak Indonesia Balita,Education,9.35M,605.31K,https://www.noxinfluencer.com/youtube/channel/UC5Tg_aUYKBtpnGipTVqDDuQ,2022-09-15T03:46:07+00Z,noxinfluencer
47,subs weekly,3,Ani Nurhayani,Entertainment,9.26M,205.11K,https://www.noxinfluencer.com/youtube/channel/UCs89kFyfKM24SFFAb_vqpBQ,2022-09-15T03:46:07+00Z,noxinfluencer
48,subs weekly,2.5,PANJI PETUALANG,Pets & Animals,9.26M,426.57K,https://www.noxinfluencer.com/youtube/channel/UCK80fj7o9HUEWvobSVp2J-Q,2022-09-15T03:46:07+00Z,noxinfluencer
49,subs weekly,3.5,Sara Wijayanto,People & Blogs,9.25M,1.21M,https://www.noxinfluencer.com/youtube/channel/UCa3k1_nfBeXbf7be6Dcy_vQ,2022-09-15T03:46:07+00Z,noxinfluencer
50,subs weekly,3.5,Aishwa Nahla Official,Music,9.24M,9.29M,https://www.noxinfluencer.com/youtube/channel/UC1nqMqjwWkcN80yfHM6Hcow,2022-09-15T03:46:07+00Z,noxinfluencer
51,subs weekly,2.5,Rendy Rangers,Gaming,9.19M,50.82K,https://www.noxinfluencer.com/youtube/channel/UCg_GNu-J5_naq-k1kUfq1Rw,2022-09-15T03:46:07+00Z,noxinfluencer
52,subs weekly,4,Bobon Santoso,Entertainment,9.13M,921.43K,https://www.noxinfluencer.com/youtube/channel/UCCeJqNJdhaydrlubVLzyErQ,2022-09-15T03:46:07+00Z,noxinfluencer
53,subs weekly,4.5,Mikael TubeHD,People & Blogs,9.09M,684.37K,https://www.noxinfluencer.com/youtube/channel/UCFSqAZl3AxxMyaHouB2GKSg,2022-09-15T03:46:07+00Z,noxinfluencer
54,subs weekly,4,Upin & Ipin,Entertainment,9.03M,589.31K,https://www.noxinfluencer.com/youtube/channel/UChzn43FSMt_2TR97COECjRw,2022-09-15T03:46:07+00Z,noxinfluencer
55,subs weekly,3,Tayo Bus Kecil - Tayo Bahasa Indonesia,Education,9.03M,990.57K,https://www.noxinfluencer.com/youtube/channel/UCUaZwCnn6Z-16BmkKngSs0g,2022-09-15T03:46:07+00Z,noxinfluencer
56,subs weekly,3,The Onsu Family,Entertainment,9.02M,216.84K,https://www.noxinfluencer.com/youtube/channel/UCJvQLi9uJEGBpD8t3DZyHpw,2022-09-15T03:46:07+00Z,noxinfluencer
57,subs weekly,1.5,The LetsPlay Family,Entertainment,8.98M,1.15M,https://www.noxinfluencer.com/youtube/channel/UCnN-PlxUJifRxrtyb2vgk7w,2022-09-15T03:46:07+00Z,noxinfluencer
58,subs weekly,3,deHakims,Pets & Animals,8.95M,620.64K,https://www.noxinfluencer.com/youtube/channel/UC7-sh4gtS5oJkwqOyt8s3CQ,2022-09-15T03:46:07+00Z,noxinfluencer
59,subs weekly,1,Nussa Official,Entertainment,8.84M,804.21K,https://www.noxinfluencer.com/youtube/channel/UCV2jNjJEtO0Hr3b1Es3xPJg,2022-09-15T03:46:07+00Z,noxinfluencer
60,subs weekly,2.5,Najwa Shihab,News & Politics,8.59M,1.04M,https://www.noxinfluencer.com/youtube/channel/UCo8h2TY_uBkAVUIc14m_KCA,2022-09-15T03:46:07+00Z,noxinfluencer
61,subs weekly,3,SISI TERANG,Howto & Style,8.58M,27.03K,https://www.noxinfluencer.com/youtube/channel/UCSg-Y9uI1E-my-I4WKKioEQ,2022-09-15T03:46:07+00Z,noxinfluencer
62,subs weekly,4,Windah Basudara,Gaming,8.51M,367.31K,https://www.noxinfluencer.com/youtube/channel/UCoIiiHof6BJ85PLuLkuxuhw,2022-09-15T03:46:07+00Z,noxinfluencer
63,subs weekly,2,NAGASWARA Official Video | Indonesia Music Channel,Music,8.43M,20.99K,https://www.noxinfluencer.com/youtube/channel/UChvdpkJqIaVo7kbKPtmKXhA,2022-09-15T03:46:07+00Z,noxinfluencer
64,subs weekly,2.5,Daftar5,Entertainment,8.28M,118.6K,https://www.noxinfluencer.com/youtube/channel/UCGooqe5Poe7wK6xmScAm4Kw,2022-09-15T03:46:07+00Z,noxinfluencer
65,subs weekly,2.5,kemas pake z,Gaming,8.28M,32.88K,https://www.noxinfluencer.com/youtube/channel/UCCEs4SbttY3l73m0WsZix3g,2022-09-15T03:46:07+00Z,noxinfluencer
66,subs weekly,2.5,MOP Channel,Entertainment,8.14M,29.25K,https://www.noxinfluencer.com/youtube/channel/UCrrimexxJpH-zLIrg_IPV_w,2022-09-15T03:46:07+00Z,noxinfluencer
67,subs weekly,4.5,WARINTIL OFFICIAL,Comedy,8.14M,3.43M,https://www.noxinfluencer.com/youtube/channel/UCEHprhvK2xu0CYKcnbMshBw,2022-09-15T03:46:07+00Z,noxinfluencer
68,subs weekly,2,Netmediatama,Entertainment,8.14M,1K,https://www.noxinfluencer.com/youtube/channel/UCrmgXElfpFPD9LDc_0aUfew,2022-09-15T03:46:07+00Z,noxinfluencer
69,subs weekly,3,KopraL Jono,Gaming,8.1M,433K,https://www.noxinfluencer.com/youtube/channel/UCS1a9Q2__fjNt_8Wik0RFTg,2022-09-15T03:46:07+00Z,noxinfluencer
70,subs weekly,3,Erpan1140,Gaming,8.08M,534.36K,https://www.noxinfluencer.com/youtube/channel/UCHtehvb3p55uRCQBDCwF-ow,2022-09-15T03:46:07+00Z,noxinfluencer
