rank,filter,grade,name,quality,virality,frequency,subscribers,views,stats_url,date_scraped,source
1,subscribers,382,Ricis Official,50,14,53,30500000,5194886682,https://graphyrepo.com/p/ricisofficial-29665a11,2022-09-18T03:46:45+00Z,graphyrepo
2,subscribers,380,AH,50,14,52,30000000,4122317521,https://graphyrepo.com/p/ah-0ee27217,2022-09-18T03:46:45+00Z,graphyrepo
3,subscribers,385,TRANS7 OFFICIAL,24,0,98,23500000,12662946770,https://graphyrepo.com/p/trans7-ca8eca2c,2022-09-18T03:46:45+00Z,graphyrepo
4,subscribers,472,Frost Diamond,74,0,54,22600000,5487088021,https://graphyrepo.com/p/frostdiamond-988fafd6,2022-09-18T03:46:45+00Z,graphyrepo
5,subscribers,332,Baim Paula,50,0,53,20800000,4292811890,https://graphyrepo.com/p/baimpaula-7d2348c2,2022-09-18T03:46:45+00Z,graphyrepo
6,subscribers,503,GEN HALILINTAR,41,66,50,18100000,3196969192,https://graphyrepo.com/p/genhalilintar-a3c95282,2022-09-18T03:46:45+00Z,graphyrepo
7,subscribers,410,Naisa Alifia Yuriza (N.A.Y),33,33,51,17900000,2583559446,https://graphyrepo.com/p/naisaalifiayurizanay-d4cb79bd,2022-09-18T03:46:45+00Z,graphyrepo
8,subscribers,405,tanboy kun,24,33,51,16400000,3107848463,https://graphyrepo.com/p/tanboykun-0379219a,2022-09-18T03:46:45+00Z,graphyrepo
9,subscribers,472,TRANS TV Official,16,33,99,16100000,8898747894,https://graphyrepo.com/p/transtv-321c0e42,2022-09-18T03:46:45+00Z,graphyrepo
10,subscribers,757,Dyland PROS,62,100,56,15500000,1304933794,https://graphyrepo.com/p/dylandpros-c1889ee7,2022-09-18T03:46:45+00Z,graphyrepo
11,subscribers,434,RCTI - LAYAR DRAMA INDONESIA,16,33,92,15400000,13022621051,https://graphyrepo.com/p/rctilayardramaindonesia-d53281f3,2022-09-18T03:46:45+00Z,graphyrepo
12,subscribers,257,Daftar Populer,10,7,59,14700000,1904070949,https://graphyrepo.com/p/daftarpopuler-3f41c05f,2022-09-18T03:46:45+00Z,graphyrepo
13,subscribers,203,Arif muhammad,7,0,50,14500000,3469239872,https://graphyrepo.com/p/arifmuhammad-b96b828c,2022-09-18T03:46:45+00Z,graphyrepo
14,subscribers,351,MNCTV OFFICIAL ,5,14,91,13800000,7465944622,https://graphyrepo.com/p/mnctv-46b0eb10,2022-09-18T03:46:45+00Z,graphyrepo
15,subscribers,485,KOMPASTV,20,33,99,13000000,9597296818,https://graphyrepo.com/p/kompastv-7e0647cb,2022-09-18T03:46:45+00Z,graphyrepo
16,subscribers,238,The Shiny Peanut,10,7,50,12900000,2842302941,https://graphyrepo.com/p/theshinypeanut-e78c6717,2022-09-18T03:46:45+00Z,graphyrepo
17,subscribers,277,SAAIHALILINTAR,22,7,50,12600000,1105231985,https://graphyrepo.com/p/saaihalilintar-3d758db9,2022-09-18T03:46:45+00Z,graphyrepo
18,subscribers,851,FrontaL Gaming,100,100,50,11700000,256662698,https://graphyrepo.com/p/frontalgaming-2217792c,2022-09-18T03:46:45+00Z,graphyrepo
19,subscribers,415,Jessica Jane,74,0,51,10900000,1806323807,https://graphyrepo.com/p/jessicajane-0eda708d,2022-09-18T03:46:45+00Z,graphyrepo
20,subscribers,322,hasanjr11,27,14,50,10200000,1002181071,https://graphyrepo.com/p/hasanjr11-7f3d6716,2022-09-18T03:46:45+00Z,graphyrepo
21,subscribers,317,Islam Populer,37,0,55,10100000,930158803,https://graphyrepo.com/p/islampopuler-5db033f8,2022-09-18T03:46:45+00Z,graphyrepo
22,subscribers,208,Ini Talk Show,5,10,50,9860000,4487606573,https://graphyrepo.com/p/initalkshow-6cdb6f2d,2022-09-18T03:46:45+00Z,graphyrepo
23,subscribers,409,GadgetIn,37,28,51,9820000,2147427199,https://graphyrepo.com/p/gadgetin-355944e2,2022-09-18T03:46:45+00Z,graphyrepo
24,subscribers,355,CNN Indonesia,14,16,98,9730000,5022226698,https://graphyrepo.com/p/cnnindonesia-eb7a6b09,2022-09-18T03:46:45+00Z,graphyrepo
25,subscribers,318,Nihongo Mantappu,29,10,53,9680000,2175259154,https://graphyrepo.com/p/nihongomantappu-8e2e86aa,2022-09-18T03:46:45+00Z,graphyrepo
26,subscribers,314,Nessie Judge,27,10,52,9570000,1426787365,https://graphyrepo.com/p/nessiejudge-5544837c,2022-09-18T03:46:45+00Z,graphyrepo
27,subscribers,332,tvOneNews ,14,16,99,9440000,5656458586,https://graphyrepo.com/p/tvonenews-5a986d2e,2022-09-18T03:46:45+00Z,graphyrepo
28,subscribers,203,Lagu Anak Indonesia Balita,0,7,51,9370000,4557082521,https://graphyrepo.com/p/laguanakindonesiabalita-64ec861e,2022-09-18T03:46:45+00Z,graphyrepo
29,subscribers,420,PANJI PETUALANG,20,50,50,9270000,1569624255,https://graphyrepo.com/p/panjipetualang-b667494b,2022-09-18T03:46:45+00Z,graphyrepo
30,subscribers,250,Ani Nurhayani,11,7,55,9270000,1721077152,https://graphyrepo.com/p/aninurhayani-3464f947,2022-09-18T03:46:45+00Z,graphyrepo
31,subscribers,373,Sara Wijayanto,29,20,50,9260000,1014717599,https://graphyrepo.com/p/sarawijayanto-8618199f,2022-09-18T03:46:45+00Z,graphyrepo
32,subscribers,379,Rendy Rangers,26,20,58,9200000,1632375034,https://graphyrepo.com/p/rendyrangers-8d570c52,2022-09-18T03:46:45+00Z,graphyrepo
33,subscribers,203,Bobon Santoso,7,7,51,9130000,1382273780,https://graphyrepo.com/p/bobonsantoso-6bd2e181,2022-09-18T03:46:45+00Z,graphyrepo
34,subscribers,176,The LetsPlay Family,0,7,50,8980000,3341565737,https://graphyrepo.com/p/theletsplayfamily-375a3d33,2022-09-18T03:46:45+00Z,graphyrepo
35,subscribers,626,deHakims,20,100,53,8950000,1638884612,https://graphyrepo.com/p/dehakims-3c9c07dd,2022-09-18T03:46:45+00Z,graphyrepo
36,subscribers,201,Nussa Official,14,7,50,8840000,2570744770,https://graphyrepo.com/p/nussaofficial-b18e6415,2022-09-18T03:46:45+00Z,graphyrepo
37,subscribers,235,Daftar5,7,14,54,8290000,1275954436,https://graphyrepo.com/p/daftar5-88b2c233,2022-09-18T03:46:45+00Z,graphyrepo
38,subscribers,154,kemas pake z,0,0,51,8280000,778182064,https://graphyrepo.com/p/kemaspakez-404035b8,2022-09-18T03:46:45+00Z,graphyrepo
39,subscribers,319,Erpan1140,20,20,50,8080000,1593586058,https://graphyrepo.com/p/erpan1140-f30642ad,2022-09-18T03:46:45+00Z,graphyrepo
40,subscribers,285,Maell Lee,16,22,50,8050000,745183402,https://graphyrepo.com/p/maelllee-78853b1c,2022-09-18T03:46:45+00Z,graphyrepo
41,subscribers,358,Tribunnews,0,16,99,7970000,5438608384,https://graphyrepo.com/p/tribunnews-c37dffa9,2022-09-18T03:46:45+00Z,graphyrepo
42,subscribers,341,MD Entertainment,14,15,69,7830000,3799362146,https://graphyrepo.com/p/mdentertainment-dfc17eb6,2022-09-18T03:46:45+00Z,graphyrepo
43,subscribers,188,fikrifadlu ,3,7,50,7740000,3373404811,https://graphyrepo.com/p/fikrifadlu-62300ac2,2022-09-18T03:46:45+00Z,graphyrepo
44,subscribers,352,Rizky Riplay,42,7,50,7620000,1071963345,https://graphyrepo.com/p/rizkyriplay-2c219ce5,2022-09-18T03:46:45+00Z,graphyrepo
45,subscribers,229,Angga Candra,7,7,51,7470000,1119286824,https://graphyrepo.com/p/anggacandra-33c3425f,2022-09-18T03:46:45+00Z,graphyrepo
46,subscribers,370,Oura Gaming,10,40,59,7270000,1976085989,https://graphyrepo.com/p/ouragaming-29058214,2022-09-18T03:46:45+00Z,graphyrepo
47,subscribers,527,animasinopal,0,100,50,7260000,804174097,https://graphyrepo.com/p/animasinopal-d585699a,2022-09-18T03:46:45+00Z,graphyrepo
48,subscribers,346,Putih Abu-Abu,30,24,51,7120000,1824445651,https://graphyrepo.com/p/putihabuabu-bdf9b360,2022-09-18T03:46:45+00Z,graphyrepo
49,subscribers,307,musisi jogja project,22,24,57,6970000,1296849568,https://graphyrepo.com/p/musisijogjaproject-211bed4c,2022-09-18T03:46:45+00Z,graphyrepo
50,subscribers,321,Rasyah Rasyid,20,20,51,6960000,684735644,https://graphyrepo.com/p/rasyahrasyid-cd3d512c,2022-09-18T03:46:45+00Z,graphyrepo
51,subscribers,230,Hi Patrick,22,7,50,6950000,743851477,https://graphyrepo.com/p/hipatrick-5ab3b63e,2022-09-18T03:46:45+00Z,graphyrepo
52,subscribers,203,DJ Opus,7,7,51,6810000,589387063,https://graphyrepo.com/p/djopus-0b51b5fc,2022-09-18T03:46:45+00Z,graphyrepo
53,subscribers,305,FATEH HALILINTAR,22,7,50,6560000,279433506,https://graphyrepo.com/p/fatehhalilintar-22885765,2022-09-18T03:46:45+00Z,graphyrepo
54,subscribers,216,86 & Custom Protection NET,7,7,57,6530000,2619683135,https://graphyrepo.com/p/86customprotectionnet-349bb358,2022-09-18T03:46:45+00Z,graphyrepo
55,subscribers,251,Indonesian Idol,7,7,50,6460000,1832100617,https://graphyrepo.com/p/indonesianidol-f2adb831,2022-09-18T03:46:45+00Z,graphyrepo
56,subscribers,222,Calon Sarjana,7,14,60,6410000,493277772,https://graphyrepo.com/p/calonsarjana-c63cb1f3,2022-09-18T03:46:45+00Z,graphyrepo
57,subscribers,203,TAULANY TV,11,10,51,6360000,1287900885,https://graphyrepo.com/p/taulanytv-2a8777d7,2022-09-18T03:46:45+00Z,graphyrepo
58,subscribers,382,WAWAN MKS,26,40,50,6290000,491746016,https://graphyrepo.com/p/wawanmks-8a707272,2022-09-18T03:46:45+00Z,graphyrepo
59,subscribers,352,Tribun Timur,5,10,98,6280000,5472751262,https://graphyrepo.com/p/tribuntimur-f1c646c7,2022-09-18T03:46:45+00Z,graphyrepo
60,subscribers,277,Natasha Wilona,23,20,50,6200000,517916699,https://graphyrepo.com/p/natashawilona-4b7a4429,2022-09-18T03:46:45+00Z,graphyrepo
61,subscribers,312,BrandonKent Everything,10,40,55,6180000,1625117932,https://graphyrepo.com/p/brandonkenteverything-6261705e,2022-09-18T03:46:45+00Z,graphyrepo
62,subscribers,217,Vincent Raditya,11,0,50,6000000,560538472,https://graphyrepo.com/p/vincentraditya-91195d03,2022-09-18T03:46:45+00Z,graphyrepo
63,subscribers,271,The Hermansyah A6,11,7,53,5930000,1248179106,https://graphyrepo.com/p/thehermansyaha6-34846978,2022-09-18T03:46:45+00Z,graphyrepo
64,subscribers,324,Trinity Optima Production,22,12,50,5890000,3551808061,https://graphyrepo.com/p/trinityoptimaproduction-1df4a4cd,2022-09-18T03:46:45+00Z,graphyrepo
65,subscribers,339,Jurnal Risa,29,10,51,5820000,946381257,https://graphyrepo.com/p/jurnalrisa-ea5d5434,2022-09-18T03:46:45+00Z,graphyrepo
66,subscribers,306,Thariq Halilintar,29,7,52,5750000,416478778,https://graphyrepo.com/p/thariqhalilintar-5203b2a9,2022-09-18T03:46:45+00Z,graphyrepo
67,subscribers,369,Teguh Sugianto,26,20,53,5720000,2246929777,https://graphyrepo.com/p/teguhsugianto-439d9107,2022-09-18T03:46:45+00Z,graphyrepo
68,subscribers,229,Hobby Makan,11,10,51,5690000,978601410,https://graphyrepo.com/p/hobbymakan-46062043,2022-09-18T03:46:45+00Z,graphyrepo
69,subscribers,246,SABYAN,15,12,50,5650000,469163605,https://graphyrepo.com/p/sabyan-a1c01486,2022-09-18T03:46:45+00Z,graphyrepo
70,subscribers,281,Maul Ibra,15,20,53,5490000,1654972779,https://graphyrepo.com/p/maulibra-a658b733,2022-09-18T03:46:45+00Z,graphyrepo
71,subscribers,228,Picky Picks,15,7,50,5350000,504420808,https://graphyrepo.com/p/pickypicks-44535c6f,2022-09-18T03:46:45+00Z,graphyrepo
72,subscribers,336,Fakta Populer,7,28,55,5320000,595300349,https://graphyrepo.com/p/faktapopuler-586e75eb,2022-09-18T03:46:45+00Z,graphyrepo
73,subscribers,370,BeaconCream,26,20,54,5270000,2191860294,https://graphyrepo.com/p/beaconcream-0a8fa45e,2022-09-18T03:46:45+00Z,graphyrepo
74,subscribers,330,WeTV Indonesia,14,7,89,5240000,1588828986,https://graphyrepo.com/p/wetvindonesia-094b87f7,2022-09-18T03:46:45+00Z,graphyrepo
75,subscribers,298,DENNY CAKNAN,22,12,50,5170000,1539621249,https://graphyrepo.com/p/dennycaknan-c0f4eb0e,2022-09-18T03:46:45+00Z,graphyrepo
76,subscribers,317,LESTI CHANNEL,19,14,50,5160000,243006641,https://graphyrepo.com/p/lestichannel-e0b937f4,2022-09-18T03:46:45+00Z,graphyrepo
77,subscribers,276,Korea Reomit,17,10,52,5130000,876171934,https://graphyrepo.com/p/koreareomit-a38ee08c,2022-09-18T03:46:45+00Z,graphyrepo
78,subscribers,275,MAQ,19,14,54,5130000,846907562,https://graphyrepo.com/p/maq-60813f18,2022-09-18T03:46:45+00Z,graphyrepo
79,subscribers,293,MILYHYA,20,20,50,5050000,686801249,https://graphyrepo.com/p/milyhya-5514c545,2022-09-18T03:46:45+00Z,graphyrepo
80,subscribers,327,Felix Official,30,12,51,5030000,1216371506,https://graphyrepo.com/p/felixofficial-66f2358f,2022-09-18T03:46:45+00Z,graphyrepo
81,subscribers,203,NABILA SUAKA,14,7,50,4880000,851428870,https://graphyrepo.com/p/nabilasuaka-0ace4ac8,2022-09-18T03:46:45+00Z,graphyrepo
82,subscribers,255,Jonathan Liandi,8,16,57,4860000,1573352098,https://graphyrepo.com/p/jonathanliandi-af9fee27,2022-09-18T03:46:45+00Z,graphyrepo
83,subscribers,245,GA,11,7,52,4800000,512485227,https://graphyrepo.com/p/gritteagatha-69ca520a,2022-09-18T03:46:45+00Z,graphyrepo
84,subscribers,202,Ismi n Hidayah,14,7,50,4790000,449704146,https://graphyrepo.com/p/isminhidayah-0550aca3,2022-09-18T03:46:45+00Z,graphyrepo
85,subscribers,306,Al-Bahjah  TV,22,7,64,4670000,601751338,https://graphyrepo.com/p/albahjahtv-e27eaefd,2022-09-18T03:46:45+00Z,graphyrepo
86,subscribers,312,RianTV,13,33,50,4640000,523595649,https://graphyrepo.com/p/riantv-3706c9e0,2022-09-18T03:46:45+00Z,graphyrepo
87,subscribers,203,Nex Carlos,7,7,51,4610000,1172740771,https://graphyrepo.com/p/nexcarlos-d2a2dff6,2022-09-18T03:46:45+00Z,graphyrepo
88,subscribers,317,Syam Kapuk,17,14,53,4610000,391428757,https://graphyrepo.com/p/syamkapuk-3650c248,2022-09-18T03:46:45+00Z,graphyrepo
89,subscribers,281,Aish TV,14,14,52,4590000,401782437,https://graphyrepo.com/p/aishtv-a1699e49,2022-09-18T03:46:45+00Z,graphyrepo
90,subscribers,219,Diva The Series Official,5,7,50,4570000,2184300797,https://graphyrepo.com/p/divatheseries-3cf059a9,2022-09-18T03:46:45+00Z,graphyrepo
91,subscribers,267,JalanTikus,11,28,50,4570000,584581182,https://graphyrepo.com/p/jalantikus-9fbcea72,2022-09-18T03:46:45+00Z,graphyrepo
92,subscribers,234,Farida Nurhan,7,7,54,4500000,1078160274,https://graphyrepo.com/p/faridanurhan-610d9c01,2022-09-18T03:46:45+00Z,graphyrepo
93,subscribers,185,DeLirik,5,7,56,4500000,2147783030,https://graphyrepo.com/p/delirik-5416e484,2022-09-18T03:46:45+00Z,graphyrepo
94,subscribers,235,Keira Charma,10,7,50,4450000,1125064975,https://graphyrepo.com/p/keiracharma-4d49e5a5,2022-09-18T03:46:45+00Z,graphyrepo
95,subscribers,303,Azuya Surya,18,16,53,4440000,1413557549,https://graphyrepo.com/p/azuyasurya-53aa8cbe,2022-09-18T03:46:45+00Z,graphyrepo
96,subscribers,230,Permana Cuy,7,14,52,4430000,325265397,https://graphyrepo.com/p/permanacuy-fcd7464d,2022-09-18T03:46:45+00Z,graphyrepo
97,subscribers,304,RICIS TV,42,7,53,4430000,379812209,https://graphyrepo.com/p/ricistv-81c117b4,2022-09-18T03:46:45+00Z,graphyrepo
98,subscribers,359,RIZALMUK GAME,27,16,53,4410000,577837282,https://graphyrepo.com/p/rizalmukgame-11ef3b4d,2022-09-18T03:46:45+00Z,graphyrepo
99,subscribers,211,UYE tone,2,7,50,4390000,976130787,https://graphyrepo.com/p/uyetone-580633e9,2022-09-18T03:46:45+00Z,graphyrepo
100,subscribers,222,Nofin Asia,5,7,50,4340000,578524721,https://graphyrepo.com/p/nofinasia-48cf8908,2022-09-18T03:46:45+00Z,graphyrepo
1,video views,434,RCTI - LAYAR DRAMA INDONESIA,16,33,92,15400000,13022621051,https://graphyrepo.com/p/rctilayardramaindonesia-d53281f3,2022-09-18T03:46:45+00Z,graphyrepo
2,video views,385,TRANS7 OFFICIAL,24,0,98,23500000,12662946770,https://graphyrepo.com/p/trans7-ca8eca2c,2022-09-18T03:46:45+00Z,graphyrepo
3,video views,485,KOMPASTV,20,33,99,13000000,9597296818,https://graphyrepo.com/p/kompastv-7e0647cb,2022-09-18T03:46:45+00Z,graphyrepo
4,video views,472,TRANS TV Official,16,33,99,16100000,8898747894,https://graphyrepo.com/p/transtv-321c0e42,2022-09-18T03:46:45+00Z,graphyrepo
5,video views,351,MNCTV OFFICIAL ,5,14,91,13800000,7465944622,https://graphyrepo.com/p/mnctv-46b0eb10,2022-09-18T03:46:45+00Z,graphyrepo
6,video views,321,SHOPEE Indonesia,0,21,72,2520000,6752841856,https://graphyrepo.com/p/shopeeindonesia-f2138c40,2022-09-18T03:46:45+00Z,graphyrepo
7,video views,332,tvOneNews ,14,16,99,9440000,5656458586,https://graphyrepo.com/p/tvonenews-5a986d2e,2022-09-18T03:46:45+00Z,graphyrepo
8,video views,472,Frost Diamond,74,0,54,22600000,5487088021,https://graphyrepo.com/p/frostdiamond-988fafd6,2022-09-18T03:46:45+00Z,graphyrepo
9,video views,352,Tribun Timur,5,10,98,6280000,5472751262,https://graphyrepo.com/p/tribuntimur-f1c646c7,2022-09-18T03:46:45+00Z,graphyrepo
10,video views,358,Tribunnews,0,16,99,7970000,5438608384,https://graphyrepo.com/p/tribunnews-c37dffa9,2022-09-18T03:46:45+00Z,graphyrepo
11,video views,382,Ricis Official,50,14,53,30500000,5194886682,https://graphyrepo.com/p/ricisofficial-29665a11,2022-09-18T03:46:45+00Z,graphyrepo
12,video views,355,CNN Indonesia,14,16,98,9730000,5022226698,https://graphyrepo.com/p/cnnindonesia-eb7a6b09,2022-09-18T03:46:45+00Z,graphyrepo
13,video views,203,Lagu Anak Indonesia Balita,0,7,51,9370000,4557082521,https://graphyrepo.com/p/laguanakindonesiabalita-64ec861e,2022-09-18T03:46:45+00Z,graphyrepo
14,video views,208,Ini Talk Show,5,10,50,9860000,4487606573,https://graphyrepo.com/p/initalkshow-6cdb6f2d,2022-09-18T03:46:45+00Z,graphyrepo
15,video views,332,Baim Paula,50,0,53,20800000,4292811890,https://graphyrepo.com/p/baimpaula-7d2348c2,2022-09-18T03:46:45+00Z,graphyrepo
16,video views,380,AH,50,14,52,30000000,4122317521,https://graphyrepo.com/p/ah-0ee27217,2022-09-18T03:46:45+00Z,graphyrepo
