rank,filter,grade,name,quality,virality,frequency,subscribers,views,stats_url,date_scraped,source
1,subscribers,362,Ricis Official,44,14,53,30500000,5191273500,https://graphyrepo.com/p/ricisofficial-29665a11,2022-09-15T03:46:06+00Z,graphyrepo
2,subscribers,360,AH,44,14,52,30000000,4119465189,https://graphyrepo.com/p/ah-0ee27217,2022-09-15T03:46:06+00Z,graphyrepo
3,subscribers,496,TRANS7 OFFICIAL,24,33,96,23500000,12647033047,https://graphyrepo.com/p/trans7-ca8eca2c,2022-09-15T03:46:06+00Z,graphyrepo
4,subscribers,631,Frost Diamond,87,33,54,22600000,5475257282,https://graphyrepo.com/p/frostdiamond-988fafd6,2022-09-15T03:46:06+00Z,graphyrepo
5,subscribers,447,Baim Paula,50,33,53,20800000,4290794644,https://graphyrepo.com/p/baimpaula-7d2348c2,2022-09-15T03:46:06+00Z,graphyrepo
6,subscribers,300,GEN HALILINTAR,33,16,50,18100000,3196572732,https://graphyrepo.com/p/genhalilintar-a3c95282,2022-09-15T03:46:06+00Z,graphyrepo
7,subscribers,323,Naisa Alifia Yuriza (N.A.Y),33,8,51,17900000,2578021383,https://graphyrepo.com/p/naisaalifiayurizanay-d4cb79bd,2022-09-15T03:46:06+00Z,graphyrepo
8,subscribers,289,tanboy kun,16,8,51,16400000,3101497701,https://graphyrepo.com/p/tanboykun-0379219a,2022-09-15T03:46:06+00Z,graphyrepo
9,subscribers,381,TRANS TV Official,16,8,97,16100000,8883400602,https://graphyrepo.com/p/transtv-321c0e42,2022-09-15T03:46:06+00Z,graphyrepo
10,subscribers,508,Dyland PROS,55,36,56,15500000,1303539402,https://graphyrepo.com/p/dylandpros-c1889ee7,2022-09-15T03:46:06+00Z,graphyrepo
11,subscribers,341,RCTI - LAYAR DRAMA INDONESIA,16,8,89,15400000,12994824809,https://graphyrepo.com/p/rctilayardramaindonesia-d53281f3,2022-09-15T03:46:06+00Z,graphyrepo
12,subscribers,275,Daftar Populer,10,12,59,14600000,1901178714,https://graphyrepo.com/p/daftarpopuler-3f41c05f,2022-09-15T03:46:06+00Z,graphyrepo
13,subscribers,228,Arif muhammad,14,0,51,14500000,3464132438,https://graphyrepo.com/p/arifmuhammad-b96b828c,2022-09-15T03:46:06+00Z,graphyrepo
14,subscribers,384,MNCTV OFFICIAL ,5,24,89,13800000,7460984577,https://graphyrepo.com/p/mnctv-46b0eb10,2022-09-15T03:46:06+00Z,graphyrepo
15,subscribers,470,KOMPASTV,16,33,98,13000000,9571771269,https://graphyrepo.com/p/kompastv-7e0647cb,2022-09-15T03:46:06+00Z,graphyrepo
16,subscribers,256,The Shiny Peanut,10,12,50,12900000,2842116913,https://graphyrepo.com/p/theshinypeanut-e78c6717,2022-09-15T03:46:06+00Z,graphyrepo
17,subscribers,295,SAAIHALILINTAR,22,12,50,12600000,1105181403,https://graphyrepo.com/p/saaihalilintar-3d758db9,2022-09-15T03:46:06+00Z,graphyrepo
18,subscribers,850,FrontaL Gaming,100,100,50,11700000,256325586,https://graphyrepo.com/p/frontalgaming-2217792c,2022-09-15T03:46:06+00Z,graphyrepo
19,subscribers,415,Jessica Jane,74,0,51,10900000,1802044200,https://graphyrepo.com/p/jessicajane-0eda708d,2022-09-15T03:46:06+00Z,graphyrepo
20,subscribers,359,hasanjr11,27,24,50,10200000,999087716,https://graphyrepo.com/p/hasanjr11-7f3d6716,2022-09-15T03:46:06+00Z,graphyrepo
21,subscribers,363,Islam Populer,50,0,56,10100000,929256530,https://graphyrepo.com/p/islampopuler-5db033f8,2022-09-15T03:46:06+00Z,graphyrepo
22,subscribers,213,Ini Talk Show,5,12,50,9860000,4485977029,https://graphyrepo.com/p/initalkshow-6cdb6f2d,2022-09-15T03:46:06+00Z,graphyrepo
23,subscribers,342,GadgetIn,24,22,51,9800000,2142288246,https://graphyrepo.com/p/gadgetin-355944e2,2022-09-15T03:46:06+00Z,graphyrepo
24,subscribers,353,CNN Indonesia,14,16,97,9730000,5016549593,https://graphyrepo.com/p/cnnindonesia-eb7a6b09,2022-09-15T03:46:06+00Z,graphyrepo
25,subscribers,347,Nihongo Mantappu,27,20,52,9680000,2170833669,https://graphyrepo.com/p/nihongomantappu-8e2e86aa,2022-09-15T03:46:06+00Z,graphyrepo
26,subscribers,320,Nessie Judge,27,12,52,9570000,1424160717,https://graphyrepo.com/p/nessiejudge-5544837c,2022-09-15T03:46:06+00Z,graphyrepo
27,subscribers,379,tvOneNews ,28,16,98,9420000,5637955999,https://graphyrepo.com/p/tvonenews-5a986d2e,2022-09-15T03:46:06+00Z,graphyrepo
28,subscribers,203,Lagu Anak Indonesia Balita,0,7,51,9350000,4545411600,https://graphyrepo.com/p/laguanakindonesiabalita-64ec861e,2022-09-15T03:46:06+00Z,graphyrepo
29,subscribers,413,PANJI PETUALANG,18,50,50,9260000,1568827484,https://graphyrepo.com/p/panjipetualang-b667494b,2022-09-15T03:46:06+00Z,graphyrepo
30,subscribers,248,Ani Nurhayani,9,8,54,9260000,1718372434,https://graphyrepo.com/p/aninurhayani-3464f947,2022-09-15T03:46:06+00Z,graphyrepo
31,subscribers,368,Sara Wijayanto,27,20,50,9250000,1013768175,https://graphyrepo.com/p/sarawijayanto-8618199f,2022-09-15T03:46:06+00Z,graphyrepo
32,subscribers,373,Rendy Rangers,24,20,57,9190000,1630681648,https://graphyrepo.com/p/rendyrangers-8d570c52,2022-09-15T03:46:06+00Z,graphyrepo
33,subscribers,237,Bobon Santoso,6,18,51,9130000,1381246449,https://graphyrepo.com/p/bobonsantoso-6bd2e181,2022-09-15T03:46:06+00Z,graphyrepo
34,subscribers,182,The LetsPlay Family,0,8,50,8980000,3338635134,https://graphyrepo.com/p/theletsplayfamily-375a3d33,2022-09-15T03:46:06+00Z,graphyrepo
35,subscribers,619,deHakims,18,100,53,8950000,1637270625,https://graphyrepo.com/p/dehakims-3c9c07dd,2022-09-15T03:46:06+00Z,graphyrepo
