rank,filter,grade,name,quality,virality,frequency,subscribers,views,stats_url,date_scraped,source
1,subscribers,382,Ricis Official,50,14,53,30500000,5192311262,https://graphyrepo.com/p/ricisofficial-29665a11,2022-09-16T03:49:11+00Z,graphyrepo
2,subscribers,381,AH,50,14,53,30000000,4120108552,https://graphyrepo.com/p/ah-0ee27217,2022-09-16T03:49:11+00Z,graphyrepo
3,subscribers,455,TRANS7 OFFICIAL,12,33,98,23500000,12652425405,https://graphyrepo.com/p/trans7-ca8eca2c,2022-09-16T03:49:11+00Z,graphyrepo
4,subscribers,587,Frost Diamond,74,33,54,22600000,5479472170,https://graphyrepo.com/p/frostdiamond-988fafd6,2022-09-16T03:49:11+00Z,graphyrepo
5,subscribers,447,Baim Paula,50,33,53,20800000,4291596405,https://graphyrepo.com/p/baimpaula-7d2348c2,2022-09-16T03:49:11+00Z,graphyrepo
6,subscribers,299,GEN HALILINTAR,33,16,50,18100000,3196690153,https://graphyrepo.com/p/genhalilintar-a3c95282,2022-09-16T03:49:11+00Z,graphyrepo
7,subscribers,324,Naisa Alifia Yuriza (N.A.Y),33,8,52,17900000,2578709237,https://graphyrepo.com/p/naisaalifiayurizanay-d4cb79bd,2022-09-16T03:49:11+00Z,graphyrepo
8,subscribers,289,tanboy kun,16,8,51,16400000,3103643570,https://graphyrepo.com/p/tanboykun-0379219a,2022-09-16T03:49:11+00Z,graphyrepo
9,subscribers,352,TRANS TV Official,8,8,97,16100000,8890977604,https://graphyrepo.com/p/transtv-321c0e42,2022-09-16T03:49:11+00Z,graphyrepo
10,subscribers,692,Dyland PROS,44,100,56,15500000,1303802952,https://graphyrepo.com/p/dylandpros-c1889ee7,2022-09-16T03:49:11+00Z,graphyrepo
11,subscribers,344,RCTI - LAYAR DRAMA INDONESIA,16,8,91,15400000,13003916157,https://graphyrepo.com/p/rctilayardramaindonesia-d53281f3,2022-09-16T03:49:11+00Z,graphyrepo
12,subscribers,275,Daftar Populer,10,12,59,14600000,1902222110,https://graphyrepo.com/p/daftarpopuler-3f41c05f,2022-09-16T03:49:11+00Z,graphyrepo
13,subscribers,269,Arif muhammad,14,12,50,14500000,3465703629,https://graphyrepo.com/p/arifmuhammad-b96b828c,2022-09-16T03:49:11+00Z,graphyrepo
14,subscribers,387,MNCTV OFFICIAL ,5,24,90,13800000,7462486601,https://graphyrepo.com/p/mnctv-46b0eb10,2022-09-16T03:49:11+00Z,graphyrepo
15,subscribers,470,KOMPASTV,16,33,98,13000000,9580268093,https://graphyrepo.com/p/kompastv-7e0647cb,2022-09-16T03:49:11+00Z,graphyrepo
16,subscribers,300,The Shiny Peanut,10,24,50,12900000,2842177720,https://graphyrepo.com/p/theshinypeanut-e78c6717,2022-09-16T03:49:11+00Z,graphyrepo
17,subscribers,295,SAAIHALILINTAR,22,12,50,12600000,1105201517,https://graphyrepo.com/p/saaihalilintar-3d758db9,2022-09-16T03:49:11+00Z,graphyrepo
18,subscribers,850,FrontaL Gaming,100,100,50,11700000,256345580,https://graphyrepo.com/p/frontalgaming-2217792c,2022-09-16T03:49:11+00Z,graphyrepo
19,subscribers,415,Jessica Jane,74,0,51,10900000,1803601600,https://graphyrepo.com/p/jessicajane-0eda708d,2022-09-16T03:49:11+00Z,graphyrepo
20,subscribers,359,hasanjr11,27,24,50,10200000,1000063847,https://graphyrepo.com/p/hasanjr11-7f3d6716,2022-09-16T03:49:11+00Z,graphyrepo
21,subscribers,319,Islam Populer,37,0,56,10100000,929716796,https://graphyrepo.com/p/islampopuler-5db033f8,2022-09-16T03:49:11+00Z,graphyrepo
22,subscribers,213,Ini Talk Show,5,12,50,9860000,4486516492,https://graphyrepo.com/p/initalkshow-6cdb6f2d,2022-09-16T03:49:11+00Z,graphyrepo
23,subscribers,409,GadgetIn,37,28,51,9810000,2143719332,https://graphyrepo.com/p/gadgetin-355944e2,2022-09-16T03:49:11+00Z,graphyrepo
24,subscribers,353,CNN Indonesia,14,16,97,9730000,5018170065,https://graphyrepo.com/p/cnnindonesia-eb7a6b09,2022-09-16T03:49:11+00Z,graphyrepo
25,subscribers,320,Nihongo Mantappu,29,10,52,9680000,2171137998,https://graphyrepo.com/p/nihongomantappu-8e2e86aa,2022-09-16T03:49:11+00Z,graphyrepo
26,subscribers,319,Nessie Judge,27,12,52,9570000,1424565939,https://graphyrepo.com/p/nessiejudge-5544837c,2022-09-16T03:49:11+00Z,graphyrepo
27,subscribers,329,tvOneNews ,14,16,98,9430000,5645719490,https://graphyrepo.com/p/tvonenews-5a986d2e,2022-09-16T03:49:11+00Z,graphyrepo
