rank,filter,grade,name,category,subscribers,views,stats_url,date_scraped,source
1,subs weekly,3.5,Ricis Official,Hiburan,30.5JT,614.67RB,https://www.noxinfluencer.com/youtube/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,2022-09-14T05:55:01+00Z,noxinfluencer
2,subs weekly,3,AH,Hiburan,29.9JT,853.83RB,https://www.noxinfluencer.com/youtube/channel/UCaKLg1ELiX0zTJ6Je3c5esA,2022-09-14T05:55:01+00Z,noxinfluencer
3,subs weekly,3,Jess No Limit,Game,24.9JT,980.16RB,https://www.noxinfluencer.com/youtube/channel/UCvh1at6xpV1ytYOAzxmqUsA,2022-09-14T05:55:01+00Z,noxinfluencer
4,subs weekly,3.5,Rans Entertainment,Hiburan,24.1JT,698.76RB,https://www.noxinfluencer.com/youtube/channel/UCvA9_f5Lwk-poMynabtrZPg,2022-09-14T05:55:01+00Z,noxinfluencer
5,subs weekly,2,TRANS7 OFFICIAL,Hiburan,23.5JT,44.46RB,https://www.noxinfluencer.com/youtube/channel/UC24_Z2L-8Ki183AI9zJJzNQ,2022-09-14T05:55:01+00Z,noxinfluencer
6,subs weekly,3,Frost Diamond,Game,22.5JT,620.44RB,https://www.noxinfluencer.com/youtube/channel/UC4hGmH5sABOA70D4fGb8qNQ,2022-09-14T05:55:01+00Z,noxinfluencer
7,subs weekly,2,Indosiar,Hiburan,21.4JT,0,https://www.noxinfluencer.com/youtube/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,2022-09-14T05:55:01+00Z,noxinfluencer
8,subs weekly,3,Baim Paula,Hiburan,20.8JT,654.43RB,https://www.noxinfluencer.com/youtube/channel/UC5xAPCVizxOfnMECMXkal2Q,2022-09-14T05:55:01+00Z,noxinfluencer
9,subs weekly,4.5,Deddy Corbuzier,Hiburan,19.4JT,4.29JT,https://www.noxinfluencer.com/youtube/channel/UCYk4LJI0Pr6RBDWowMm-KUw,2022-09-14T05:55:01+00Z,noxinfluencer
10,subs weekly,3,BabyBus - Cerita & Lagu Anak-anak,Pendidikan,18.4JT,729.08RB,https://www.noxinfluencer.com/youtube/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,2022-09-14T05:55:01+00Z,noxinfluencer
11,subs weekly,3.5,MiawAug,Game,18.3JT,779.77RB,https://www.noxinfluencer.com/youtube/channel/UC3J4Q1grz46bdJ7NJLd4DGw,2022-09-14T05:55:01+00Z,noxinfluencer
12,subs weekly,3,GEN HALILINTAR,Hiburan,18.1JT,509.46RB,https://www.noxinfluencer.com/youtube/channel/UCfRNJiafEm1LBBGFTTq4cXw,2022-09-14T05:55:01+00Z,noxinfluencer
13,subs weekly,3,Naisa Alifia Yuriza (N.A.Y),Hiburan,17.9JT,1.33JT,https://www.noxinfluencer.com/youtube/channel/UCtjFp8VXWIscsqQ2wokpo3Q,2022-09-14T05:55:01+00Z,noxinfluencer
14,subs weekly,1.5,Zuni and Family,Blog & Orang,16.4JT,619.81RB,https://www.noxinfluencer.com/youtube/channel/UCAelPgCHWYyEs8-TFuOVRtg,2022-09-14T05:55:01+00Z,noxinfluencer
15,subs weekly,4.5,tanboy kun,Hiburan,16.4JT,2.09JT,https://www.noxinfluencer.com/youtube/channel/UC8rHUssNDJ9YEjfduAqJBmw,2022-09-14T05:55:01+00Z,noxinfluencer
16,subs weekly,2,TRANS TV Official,Hiburan,16.1JT,3.27RB,https://www.noxinfluencer.com/youtube/channel/UCIohHXwCEKxWCLvAguJ-GjA,2022-09-14T05:55:01+00Z,noxinfluencer
17,subs weekly,2.5,Dyland PROS,Game,15.5JT,167.44RB,https://www.noxinfluencer.com/youtube/channel/UCXdmo_q4SawYMz-dmeKEHPQ,2022-09-14T05:55:01+00Z,noxinfluencer
18,subs weekly,2,RCTI - LAYAR DRAMA INDONESIA,Hiburan,15.4JT,52.16RB,https://www.noxinfluencer.com/youtube/channel/UCzTsWuCdVP_vehWyGwPcS3Q,2022-09-14T05:55:01+00Z,noxinfluencer
19,subs weekly,2,Kerajinan 5-Menit,Cara & Gaya,15.2JT,14.43RB,https://www.noxinfluencer.com/youtube/channel/UClIYfCAhMAlacxT0e_sl1uA,2022-09-14T05:55:01+00Z,noxinfluencer
20,subs weekly,2,Like Nastya IDN,Hiburan,15.2JT,162.71RB,https://www.noxinfluencer.com/youtube/channel/UCui_SuV6CzSgB1bdwL5utzg,2022-09-14T05:55:01+00Z,noxinfluencer
21,subs weekly,3,Daftar Populer,Hiburan,14.6JT,81.93RB,https://www.noxinfluencer.com/youtube/channel/UCQW2tTNJ40V2T6MqV1eMZ0w,2022-09-14T05:55:01+00Z,noxinfluencer
22,subs weekly,4.5,Arif muhammad,Komedi,14.5JT,2.89JT,https://www.noxinfluencer.com/youtube/channel/UCfx3oPv3cJm2aCJ7UnhKx8A,2022-09-14T05:55:01+00Z,noxinfluencer
23,subs weekly,2,MNCTV OFFICIAL,Hiburan,13.8JT,56.55RB,https://www.noxinfluencer.com/youtube/channel/UC34xi8JB1AKSotPUKHywbaA,2022-09-14T05:55:01+00Z,noxinfluencer
24,subs weekly,2,KOMPASTV,Berita & Politik,13JT,12.34RB,https://www.noxinfluencer.com/youtube/channel/UC5BMIWZe9isJXLZZWPWvBlg,2022-09-14T05:55:01+00Z,noxinfluencer
25,subs weekly,2,The Shiny Peanut,Hiburan,12.9JT,16.85RB,https://www.noxinfluencer.com/youtube/channel/UCgiO267R4Qo-SJF2UzH5ccQ,2022-09-14T05:55:01+00Z,noxinfluencer
26,subs weekly,2,BUDI01 GAMING,Game,12.7JT,1.53JT,https://www.noxinfluencer.com/youtube/channel/UC8qp0ZmavLOGeSdLxSUZO8w,2022-09-14T05:55:01+00Z,noxinfluencer
27,subs weekly,0.5,SAAIHALILINTAR,Hiburan,12.6JT,401.88RB,https://www.noxinfluencer.com/youtube/channel/UCEIdGryox368qWinrZ9eA8A,2022-09-14T05:55:01+00Z,noxinfluencer
28,subs weekly,3,Troom Troom Indonesia,Blog & Orang,12JT,205.74RB,https://www.noxinfluencer.com/youtube/channel/UCtGmhXT_NSTK5j_r9a9xdYA,2022-09-14T05:55:01+00Z,noxinfluencer
