rank,filter,grade,name,category,uploads,subscribers,views,stats_url,date_scraped,source
1,subscribers,B+,Ricis Official,entertainment,2042,30.5M,5186479790,https://socialblade.com/youtube/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,2022-09-14T03:38:57+00Z,socialblade
2,subscribers,B+,AH,entertainment,1839,29.9M,4115845661,https://socialblade.com/youtube/channel/UCaKLg1ELiX0zTJ6Je3c5esA,2022-09-14T03:38:57+00Z,socialblade
3,subscribers,B+,Jess No Limit,games,1935,24.9M,3081667887,https://socialblade.com/youtube/channel/UCvh1at6xpV1ytYOAzxmqUsA,2022-09-14T03:38:57+00Z,socialblade
4,subscribers,B+,Rans Entertainment,entertainment,3115,24.1M,5757783476,https://socialblade.com/youtube/channel/UCvA9_f5Lwk-poMynabtrZPg,2022-09-14T03:38:57+00Z,socialblade
5,subscribers,A-,TRANS7 OFFICIAL,entertainment,79813,23.5M,12627218391,https://socialblade.com/youtube/channel/UC24_Z2L-8Ki183AI9zJJzNQ,2022-09-14T03:38:57+00Z,socialblade
6,subscribers,A-,Frost Diamond,games,2235,22.5M,5458461711,https://socialblade.com/youtube/channel/UC4hGmH5sABOA70D4fGb8qNQ,2022-09-14T03:38:57+00Z,socialblade
7,subscribers,A,Indosiar,entertainment,59713,21.3M,10467883083,https://socialblade.com/youtube/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,2022-09-14T03:38:57+00Z,socialblade
8,subscribers,B+,Baim Paula,entertainment,1987,20.8M,4287418755,https://socialblade.com/youtube/channel/UC5xAPCVizxOfnMECMXkal2Q,2022-09-14T03:38:57+00Z,socialblade
9,subscribers,A-,Deddy Corbuzier,entertainment,1155,19.4M,4195891173,https://socialblade.com/youtube/channel/UCYk4LJI0Pr6RBDWowMm-KUw,2022-09-14T03:38:57+00Z,socialblade
10,subscribers,A-,BabyBus - Cerita & Lagu Anak-anak,education,691,18.4M,10444501563,https://socialblade.com/youtube/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,2022-09-14T03:38:57+00Z,socialblade
11,subscribers,B+,MiawAug,games,3326,18.3M,5315015233,https://socialblade.com/youtube/channel/UC3J4Q1grz46bdJ7NJLd4DGw,2022-09-14T03:38:57+00Z,socialblade
12,subscribers,B+,GEN HALILINTAR,entertainment,981,18.1M,3195969260,https://socialblade.com/youtube/channel/UCfRNJiafEm1LBBGFTTq4cXw,2022-09-14T03:38:57+00Z,socialblade
13,subscribers,B+,Naisa Alifia Yuriza (N.A.Y),entertainment,1469,17.9M,2571017488,https://socialblade.com/youtube/channel/UCtjFp8VXWIscsqQ2wokpo3Q,2022-09-14T03:38:57+00Z,socialblade
14,subscribers,A-,Zuni and Family,people,178,16.4M,5966426993,https://socialblade.com/youtube/channel/UCAelPgCHWYyEs8-TFuOVRtg,2022-09-14T03:38:57+00Z,socialblade
15,subscribers,A-,tanboy kun,entertainment,595,16.4M,3092875301,https://socialblade.com/youtube/channel/UC8rHUssNDJ9YEjfduAqJBmw,2022-09-14T03:38:57+00Z,socialblade
16,subscribers,A-,TRANS TV Official,entertainment,126444,16.1M,8874081742,https://socialblade.com/youtube/channel/UCIohHXwCEKxWCLvAguJ-GjA,2022-09-14T03:38:57+00Z,socialblade
17,subscribers,B,Dyland PROS,games,1851,15.5M,1300150218,https://socialblade.com/youtube/channel/UCXdmo_q4SawYMz-dmeKEHPQ,2022-09-14T03:38:57+00Z,socialblade
18,subscribers,A-,RCTI - LAYAR DRAMA INDONESIA,entertainment,59807,15.4M,12966241390,https://socialblade.com/youtube/channel/UCzTsWuCdVP_vehWyGwPcS3Q,2022-09-14T03:38:57+00Z,socialblade
19,subscribers,A-,Like Nastya IDN,entertainment,444,15.2M,6574851791,https://socialblade.com/youtube/channel/UCui_SuV6CzSgB1bdwL5utzg,2022-09-14T03:38:57+00Z,socialblade
20,subscribers,B+,Kerajinan 5-Menit,howto,3456,15.2M,4497954987,https://socialblade.com/youtube/channel/UClIYfCAhMAlacxT0e_sl1uA,2022-09-14T03:38:57+00Z,socialblade
21,subscribers,B+,Daftar Populer,entertainment,2984,14.6M,1897143836,https://socialblade.com/youtube/channel/UCQW2tTNJ40V2T6MqV1eMZ0w,2022-09-14T03:38:57+00Z,socialblade
22,subscribers,B+,Arif muhammad,comedy,439,14.5M,3457751864,https://socialblade.com/youtube/channel/UCfx3oPv3cJm2aCJ7UnhKx8A,2022-09-14T03:38:57+00Z,socialblade
23,subscribers,B+,MNCTV OFFICIAL,entertainment,55524,13.8M,7452942522,https://socialblade.com/youtube/channel/UC34xi8JB1AKSotPUKHywbaA,2022-09-14T03:38:57+00Z,socialblade
24,subscribers,A,KOMPASTV,news,228626,13M,9538099700,https://socialblade.com/youtube/channel/UC5BMIWZe9isJXLZZWPWvBlg,2022-09-14T03:38:57+00Z,socialblade
25,subscribers,B-,Calon Sarjana,entertainment,29,13M,11046741,https://socialblade.com/youtube/channel/UCkCa2NoZlJlfJlMKgZhtKOQ,2022-09-14T03:38:57+00Z,socialblade
26,subscribers,B,The Shiny Peanut,entertainment,2340,12.9M,2841870047,https://socialblade.com/youtube/channel/UCgiO267R4Qo-SJF2UzH5ccQ,2022-09-14T03:38:57+00Z,socialblade
27,subscribers,B,BUDI01 GAMING,games,273,12.7M,1071991140,https://socialblade.com/youtube/channel/UC8qp0ZmavLOGeSdLxSUZO8w,2022-09-14T03:38:57+00Z,socialblade
28,subscribers,B,SAAIHALILINTAR,entertainment,405,12.6M,1105079432,https://socialblade.com/youtube/channel/UCEIdGryox368qWinrZ9eA8A,2022-09-14T03:38:57+00Z,socialblade
29,subscribers,B+,Troom Troom Indonesia,people,1591,12M,5045515333,https://socialblade.com/youtube/channel/UCtGmhXT_NSTK5j_r9a9xdYA,2022-09-14T03:38:57+00Z,socialblade
30,subscribers,A-,Yudist Ardhana,entertainment,2162,11.9M,4045623887,https://socialblade.com/youtube/channel/UCvc00uetYIML9D-7BBrEXLA,2022-09-14T03:38:57+00Z,socialblade
31,subscribers,B,FrontaL Gaming,games,115,11.7M,256315010,https://socialblade.com/youtube/channel/UCW6fcXU68QShoXPkxnPxATw,2022-09-14T03:38:57+00Z,socialblade
32,subscribers,,YtCrash,entertainment,--,11.4M,3839043,https://socialblade.com/youtube/channel/UCkb0yUW1GGo6sHaJ2Z9IIrA,2022-09-14T03:38:57+00Z,socialblade
33,subscribers,B+,Jessica Jane,entertainment,810,10.8M,1794690168,https://socialblade.com/youtube/channel/UCFuM3BWlLM3YbLjkXBiJ8-A,2022-09-14T03:38:57+00Z,socialblade
34,subscribers,B+,GNP Music,music,819,10.3M,5527146481,https://socialblade.com/youtube/channel/UCJYG48dCgMA-p5BVDabi3nQ,2022-09-14T03:38:57+00Z,socialblade
35,subscribers,B-,hasanjr11,entertainment,308,10.2M,994909320,https://socialblade.com/youtube/channel/UCgqAMw2V_Ddy4SfmovUTh8Q,2022-09-14T03:38:57+00Z,socialblade
36,subscribers,B,Islam Populer,education,1372,10.1M,928154894,https://socialblade.com/youtube/channel/UCXhg6jUrkGLiiwk7Zr13SuQ,2022-09-14T03:38:57+00Z,socialblade
37,subscribers,A-,Little Angel Bahasa Indonesia - La…,education,393,10M,5244686908,https://socialblade.com/youtube/channel/UCdrHrQf0o0TO8YDntXJ4VIQ,2022-09-14T03:38:57+00Z,socialblade
38,subscribers,B+,SULE PRODUCTIONS,entertainment,2376,9.94M,1369254602,https://socialblade.com/youtube/channel/UCZWk_k207M--sLScrLdM3JQ,2022-09-14T03:38:57+00Z,socialblade
39,subscribers,B+,Raditya Dika,people,1732,9.86M,1988289100,https://socialblade.com/youtube/channel/UC0rzsIrAxF4kCsALP6J2EsA,2022-09-14T03:38:57+00Z,socialblade
40,subscribers,B+,Ini Talk Show,comedy,6050,9.86M,4483551385,https://socialblade.com/youtube/channel/UCo1CFjot3CX97sn_ngJnGPg,2022-09-14T03:38:57+00Z,socialblade
41,subscribers,B+,GadgetIn,tech,1269,9.78M,2133011431,https://socialblade.com/youtube/channel/UC1dI4tO13ApuSX0QeX8pHng,2022-09-14T03:38:57+00Z,socialblade
42,subscribers,A-,CNN Indonesia,news,73820,9.72M,5009467752,https://socialblade.com/youtube/channel/UCKII0Ml9S5wneKbHswmUrIQ,2022-09-14T03:38:57+00Z,socialblade
43,subscribers,B+,Nihongo Mantappu,people,974,9.66M,2162394005,https://socialblade.com/youtube/channel/UC1Gmqqs_Myzl2KHIeqfUC9A,2022-09-14T03:38:57+00Z,socialblade
44,subscribers,B+,Nessie Judge,comedy,835,9.56M,1421135329,https://socialblade.com/youtube/channel/UC_SBt2BFBkExq_azj-P5lNA,2022-09-14T03:38:57+00Z,socialblade
45,subscribers,B,efdewe,games,961,9.55M,1137432768,https://socialblade.com/youtube/channel/UCIWUnAI0GL4LDfCUeOOq7xg,2022-09-14T03:38:57+00Z,socialblade
46,subscribers,A,tvOneNews,news,65901,9.4M,5604556787,https://socialblade.com/youtube/channel/UCER4rvDnRBPr_ncYW4UCZjg,2022-09-14T03:38:57+00Z,socialblade
47,subscribers,B,LetDa Hyper,games,953,9.39M,829188093,https://socialblade.com/youtube/channel/UCCsHdU66sCbEtklvSVAGPsQ,2022-09-14T03:38:57+00Z,socialblade
48,subscribers,A-,Lagu Anak Indonesia Balita,education,502,9.33M,4531831449,https://socialblade.com/youtube/channel/UC5Tg_aUYKBtpnGipTVqDDuQ,2022-09-14T03:38:57+00Z,socialblade
49,subscribers,B+,Ani Nurhayani,entertainment,1324,9.26M,1714525952,https://socialblade.com/youtube/channel/UCs89kFyfKM24SFFAb_vqpBQ,2022-09-14T03:38:57+00Z,socialblade
50,subscribers,B,PANJI PETUALANG,animals,1129,9.26M,1567715454,https://socialblade.com/youtube/channel/UCK80fj7o9HUEWvobSVp2J-Q,2022-09-14T03:38:57+00Z,socialblade
51,subscribers,B+,Sara Wijayanto,people,335,9.25M,1011608926,https://socialblade.com/youtube/channel/UCa3k1_nfBeXbf7be6Dcy_vQ,2022-09-14T03:38:57+00Z,socialblade
52,subscribers,A-,Aishwa Nahla Official,music,136,9.23M,3051884902,https://socialblade.com/youtube/channel/UC1nqMqjwWkcN80yfHM6Hcow,2022-09-14T03:38:57+00Z,socialblade
53,subscribers,B,Rendy Rangers,games,2059,9.19M,1629432970,https://socialblade.com/youtube/channel/UCg_GNu-J5_naq-k1kUfq1Rw,2022-09-14T03:38:57+00Z,socialblade
54,subscribers,B+,Bobon Santoso,entertainment,500,9.12M,1379572779,https://socialblade.com/youtube/channel/UCCeJqNJdhaydrlubVLzyErQ,2022-09-14T03:38:57+00Z,socialblade
55,subscribers,A,Mikael TubeHD,people,1220,9.06M,5995646082,https://socialblade.com/youtube/channel/UCFSqAZl3AxxMyaHouB2GKSg,2022-09-14T03:38:57+00Z,socialblade
56,subscribers,B+,The Onsu Family,entertainment,1440,9.02M,1545363442,https://socialblade.com/youtube/channel/UCJvQLi9uJEGBpD8t3DZyHpw,2022-09-14T03:38:57+00Z,socialblade
57,subscribers,B+,Upin & Ipin,entertainment,700,9.02M,3675769141,https://socialblade.com/youtube/channel/UChzn43FSMt_2TR97COECjRw,2022-09-14T03:38:57+00Z,socialblade
58,subscribers,A-,Tayo Bus Kecil - Tayo Bahasa Indon…,education,847,9.01M,3780048779,https://socialblade.com/youtube/channel/UCUaZwCnn6Z-16BmkKngSs0g,2022-09-14T03:38:57+00Z,socialblade
59,subscribers,B+,The LetsPlay Family,entertainment,367,8.97M,3334475935,https://socialblade.com/youtube/channel/UCnN-PlxUJifRxrtyb2vgk7w,2022-09-14T03:38:57+00Z,socialblade
60,subscribers,B+,deHakims,animals,1956,8.94M,1633925301,https://socialblade.com/youtube/channel/UC7-sh4gtS5oJkwqOyt8s3CQ,2022-09-14T03:38:57+00Z,socialblade
61,subscribers,B+,Nussa Official,film,227,8.84M,2564955958,https://socialblade.com/youtube/channel/UCV2jNjJEtO0Hr3b1Es3xPJg,2022-09-14T03:38:57+00Z,socialblade
62,subscribers,B+,SISI TERANG,howto,3222,8.58M,1776988208,https://socialblade.com/youtube/channel/UCSg-Y9uI1E-my-I4WKKioEQ,2022-09-14T03:38:57+00Z,socialblade
63,subscribers,B+,Najwa Shihab,news,2486,8.58M,1274649336,https://socialblade.com/youtube/channel/UCo8h2TY_uBkAVUIc14m_KCA,2022-09-14T03:38:57+00Z,socialblade
64,subscribers,A-,Windah Basudara,games,3846,8.49M,1991331090,https://socialblade.com/youtube/channel/UCoIiiHof6BJ85PLuLkuxuhw,2022-09-14T03:38:57+00Z,socialblade
65,subscribers,B+,NAGASWARA Official Video | Indones…,music,1534,8.43M,4054145229,https://socialblade.com/youtube/channel/UChvdpkJqIaVo7kbKPtmKXhA,2022-09-14T03:38:57+00Z,socialblade
66,subscribers,B,Daftar5,entertainment,1612,8.28M,1272787892,https://socialblade.com/youtube/channel/UCGooqe5Poe7wK6xmScAm4Kw,2022-09-14T03:38:57+00Z,socialblade
67,subscribers,B,kemas pake z,games,1117,8.28M,778070688,https://socialblade.com/youtube/channel/UCCEs4SbttY3l73m0WsZix3g,2022-09-14T03:38:57+00Z,socialblade
68,subscribers,B-,MOP Channel,entertainment,4600,8.14M,1115863688,https://socialblade.com/youtube/channel/UCrrimexxJpH-zLIrg_IPV_w,2022-09-14T03:38:57+00Z,socialblade
69,subscribers,B+,Netmediatama,entertainment,30845,8.13M,3986577328,https://socialblade.com/youtube/channel/UCrmgXElfpFPD9LDc_0aUfew,2022-09-14T03:38:57+00Z,socialblade
70,subscribers,A-,WARINTIL OFFICIAL,comedy,553,8.12M,3337217263,https://socialblade.com/youtube/channel/UCEHprhvK2xu0CYKcnbMshBw,2022-09-14T03:38:57+00Z,socialblade
71,subscribers,B,KopraL Jono,games,508,8.09M,972033852,https://socialblade.com/youtube/channel/UCS1a9Q2__fjNt_8Wik0RFTg,2022-09-14T03:38:57+00Z,socialblade
72,subscribers,B,Erpan1140,games,1389,8.08M,1591588818,https://socialblade.com/youtube/channel/UCHtehvb3p55uRCQBDCwF-ow,2022-09-14T03:38:57+00Z,socialblade
73,subscribers,A,Jeevan Akawa,comedy,1299,8.07M,7130170750,https://socialblade.com/youtube/channel/UC4Z9EjODYWG91KEk-Q8DWPw,2022-09-14T03:38:57+00Z,socialblade
74,subscribers,B+,Maell Lee,comedy,274,8.05M,743584411,https://socialblade.com/youtube/channel/UCgYmNAhjfv5GYWBOfzp831Q,2022-09-14T03:38:57+00Z,socialblade
75,subscribers,B,TRI SUAKA CHANNEL,entertainment,967,8M,930112482,https://socialblade.com/youtube/channel/UCxHRAILTOBZNR8J9GZFaniw,2022-09-14T03:38:57+00Z,socialblade
76,subscribers,A,Tribunnews,news,154934,7.94M,5406511558,https://socialblade.com/youtube/channel/UCmxAIW7RDDC88EPk4ry16Kg,2022-09-14T03:38:57+00Z,socialblade
77,subscribers,B+,MD Entertainment,film,13520,7.81M,3786460960,https://socialblade.com/youtube/channel/UC3e0KfJEE6s46nn6_N-DMaQ,2022-09-14T03:38:57+00Z,socialblade
78,subscribers,B+,fikrifadlu,entertainment,290,7.74M,3369922699,https://socialblade.com/youtube/channel/UC4AXZK3XiR-kz1Nk01LhxmQ,2022-09-14T03:38:57+00Z,socialblade
79,subscribers,B+,Rizky Riplay,film,352,7.61M,1068765500,https://socialblade.com/youtube/channel/UC7GWXKxiy9_AU9TytEh00eg,2022-09-14T03:38:57+00Z,socialblade
80,subscribers,B+,Angga Candra,entertainment,702,7.46M,1117648851,https://socialblade.com/youtube/channel/UCJdzixqmMBoCMoMkrQ8F8FQ,2022-09-14T03:38:57+00Z,socialblade
81,subscribers,B+,Cumicumi,entertainment,57551,7.36M,3437580782,https://socialblade.com/youtube/channel/UC5A_pdnOOcMsaBzFAHiTMLg,2022-09-14T03:38:57+00Z,socialblade
82,subscribers,B+,Oura Gaming,games,2391,7.26M,1966915909,https://socialblade.com/youtube/channel/UCirWugW5e03u3DUGA87s58A,2022-09-14T03:38:57+00Z,socialblade
83,subscribers,B,Royan Mobil RC,,136,7.24M,357498416,https://socialblade.com/youtube/channel/UCzqSaeUu-jYcfRcOjBFq0DA,2022-09-14T03:38:57+00Z,socialblade
84,subscribers,B+,animasinopal,comedy,203,7.22M,787570581,https://socialblade.com/youtube/channel/UC5IA7MpYcbhbA28RgyQrV0A,2022-09-14T03:38:57+00Z,socialblade
85,subscribers,B,Official Sabyan gambus,music,12,7.13M,1859244015,https://socialblade.com/youtube/channel/UCfMcMOvgflhwW3FQtLosn7Q,2022-09-14T03:38:57+00Z,socialblade
86,subscribers,B+,Putih Abu-Abu,music,427,7.1M,1812515185,https://socialblade.com/youtube/channel/UCIqzqfsgUqctbM-MANntwuQ,2022-09-14T03:38:57+00Z,socialblade
87,subscribers,B+,Muse Indonesia,film,3268,7.05M,1255418483,https://socialblade.com/youtube/channel/UCxxnxya_32jcKj4yN1_kD7A,2022-09-14T03:38:57+00Z,socialblade
88,subscribers,B+,musisi jogja project,music,2078,6.97M,1295086279,https://socialblade.com/youtube/channel/UCUE-BF1Q5E6Sz1KidSnSRYw,2022-09-14T03:38:57+00Z,socialblade
89,subscribers,B,Rasyah Rasyid,games,973,6.96M,684127775,https://socialblade.com/youtube/channel/UCEgqJ5EKBATUwpkM6fVuGiA,2022-09-14T03:38:57+00Z,socialblade
90,subscribers,B,Hi Patrick,entertainment,480,6.95M,743737847,https://socialblade.com/youtube/channel/UCZB0J8mVXqPe3ej6UYlS4DQ,2022-09-14T03:38:57+00Z,socialblade
91,subscribers,B+,DJ Opus,entertainment,267,6.8M,587586663,https://socialblade.com/youtube/channel/UCwTSXttL8gc13UlPXU7YNjQ,2022-09-14T03:38:57+00Z,socialblade
92,subscribers,A-,Heidi dan Zidane,people,469,6.79M,3642041396,https://socialblade.com/youtube/channel/UCcp_vTc53n_HfHRShAAEyCw,2022-09-14T03:38:57+00Z,socialblade
93,subscribers,B+,Kang Ujang Busthomi cirebon,people,1279,6.73M,1363905208,https://socialblade.com/youtube/channel/UCxTVvAgJyIjw-zmJex4nyhg,2022-09-14T03:38:57+00Z,socialblade
94,subscribers,B+,123 GO! Indonesian,howto,355,6.66M,2497700720,https://socialblade.com/youtube/channel/UC43nz9qnZ7AIrbOlfxejTig,2022-09-14T03:38:57+00Z,socialblade
95,subscribers,B,FATEH HALILINTAR,entertainment,160,6.57M,279363955,https://socialblade.com/youtube/channel/UCi_ujFc2fgNt21RgVY5hvGg,2022-09-14T03:38:57+00Z,socialblade
96,subscribers,B,KULGAR,games,1358,6.57M,509325561,https://socialblade.com/youtube/channel/UCBcREx7wgTLTIj_VKFgOEDQ,2022-09-14T03:38:57+00Z,socialblade
97,subscribers,B,Sidul Tube,people,1073,6.53M,747347654,https://socialblade.com/youtube/channel/UCyIEVMhLpr-zmqZN9v2Ka_w,2022-09-14T03:38:57+00Z,socialblade
98,subscribers,B+,86 & Custom Protection NET,entertainment,6839,6.53M,2617020760,https://socialblade.com/youtube/channel/UCkjCVt4XfWH_S_2_ayNTTIA,2022-09-14T03:38:57+00Z,socialblade
99,subscribers,B,Indonesian Idol,entertainment,1280,6.46M,1830841994,https://socialblade.com/youtube/channel/UCpr5mSSUbIQU816dNjaDdyg,2022-09-14T03:38:57+00Z,socialblade
100,subscribers,B,Obbyphy,games,744,6.45M,669282033,https://socialblade.com/youtube/channel/UC8J8jWVZK9isJAU579ulheg,2022-09-14T03:38:57+00Z,socialblade
1,video views,A-,RCTI - LAYAR DRAMA INDONESIA,entertainment,59807,15.4M,12966241390,https://socialblade.com/youtube/channel/UCzTsWuCdVP_vehWyGwPcS3Q,2022-09-14T03:39:01+00Z,socialblade
2,video views,A-,TRANS7 OFFICIAL,entertainment,79813,23.5M,12627218391,https://socialblade.com/youtube/channel/UC24_Z2L-8Ki183AI9zJJzNQ,2022-09-14T03:39:01+00Z,socialblade
3,video views,A,Indosiar,entertainment,59713,21.3M,10467883083,https://socialblade.com/youtube/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,2022-09-14T03:39:01+00Z,socialblade
4,video views,A-,BabyBus - Cerita & Lagu Anak-anak,education,691,18.4M,10444501563,https://socialblade.com/youtube/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,2022-09-14T03:39:01+00Z,socialblade
5,video views,A,KOMPASTV,news,228626,13M,9538099700,https://socialblade.com/youtube/channel/UC5BMIWZe9isJXLZZWPWvBlg,2022-09-14T03:39:01+00Z,socialblade
6,video views,A-,TRANS TV Official,entertainment,126444,16.1M,8874081742,https://socialblade.com/youtube/channel/UCIohHXwCEKxWCLvAguJ-GjA,2022-09-14T03:39:01+00Z,socialblade
7,video views,B+,MNCTV OFFICIAL,entertainment,55524,13.8M,7452942522,https://socialblade.com/youtube/channel/UC34xi8JB1AKSotPUKHywbaA,2022-09-14T03:39:01+00Z,socialblade
8,video views,A,Jeevan Akawa,comedy,1299,8.07M,7130170750,https://socialblade.com/youtube/channel/UC4Z9EjODYWG91KEk-Q8DWPw,2022-09-14T03:39:01+00Z,socialblade
9,video views,A,SHOPEE Indonesia,entertainment,3890,2.5M,6792915322,https://socialblade.com/youtube/channel/UCwljrkoI5jsfvAKgW3zNC7Q,2022-09-14T03:39:01+00Z,socialblade
10,video views,A-,Like Nastya IDN,entertainment,444,15.2M,6574851791,https://socialblade.com/youtube/channel/UCui_SuV6CzSgB1bdwL5utzg,2022-09-14T03:39:01+00Z,socialblade
