rank,filter,grade,name,category,subscribers,views,stats_url,date_scraped,source
1,subs weekly,3.5,Ricis Official,Entertainment,30.5M,649.29K,https://www.noxinfluencer.com/youtube/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,2022-09-17T03:26:21+00Z,noxinfluencer
2,subs weekly,3,AH,Entertainment,30M,861.34K,https://www.noxinfluencer.com/youtube/channel/UCaKLg1ELiX0zTJ6Je3c5esA,2022-09-17T03:26:21+00Z,noxinfluencer
3,subs weekly,3,Jess No Limit,Gaming,24.9M,996.77K,https://www.noxinfluencer.com/youtube/channel/UCvh1at6xpV1ytYOAzxmqUsA,2022-09-17T03:26:21+00Z,noxinfluencer
4,subs weekly,3.5,Rans Entertainment,Entertainment,24.2M,819.44K,https://www.noxinfluencer.com/youtube/channel/UCvA9_f5Lwk-poMynabtrZPg,2022-09-17T03:26:21+00Z,noxinfluencer
5,subs weekly,2,TRANS7 OFFICIAL,Entertainment,23.5M,37.05K,https://www.noxinfluencer.com/youtube/channel/UC24_Z2L-8Ki183AI9zJJzNQ,2022-09-17T03:26:21+00Z,noxinfluencer
6,subs weekly,3,Frost Diamond,Gaming,22.6M,619.97K,https://www.noxinfluencer.com/youtube/channel/UC4hGmH5sABOA70D4fGb8qNQ,2022-09-17T03:26:21+00Z,noxinfluencer
7,subs weekly,2,Indosiar,Entertainment,21.4M,0,https://www.noxinfluencer.com/youtube/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,2022-09-17T03:26:21+00Z,noxinfluencer
8,subs weekly,3,Baim Paula,Entertainment,20.8M,678.18K,https://www.noxinfluencer.com/youtube/channel/UC5xAPCVizxOfnMECMXkal2Q,2022-09-17T03:26:21+00Z,noxinfluencer
9,subs weekly,4.5,Deddy Corbuzier,Entertainment,19.5M,3.76M,https://www.noxinfluencer.com/youtube/channel/UCYk4LJI0Pr6RBDWowMm-KUw,2022-09-17T03:26:21+00Z,noxinfluencer
10,subs weekly,3,BabyBus - Cerita & Lagu Anak-anak,Education,18.5M,720.86K,https://www.noxinfluencer.com/youtube/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,2022-09-17T03:26:21+00Z,noxinfluencer
11,subs weekly,3.5,MiawAug,Gaming,18.3M,639.58K,https://www.noxinfluencer.com/youtube/channel/UC3J4Q1grz46bdJ7NJLd4DGw,2022-09-17T03:26:21+00Z,noxinfluencer
12,subs weekly,3,GEN HALILINTAR,Entertainment,18.1M,512.41K,https://www.noxinfluencer.com/youtube/channel/UCfRNJiafEm1LBBGFTTq4cXw,2022-09-17T03:26:21+00Z,noxinfluencer
