rank,filter,grade,name,category,uploads,subscribers,views,stats_url,date_scraped,source
1,subscribers,B+,Ricis Official,entertainment,2044,30.5M,5174497460,https://socialblade.com/youtube/channel/UC4tS4Q_Cno5JVcIUXxQOOpA,2022-09-18T03:46:29+00Z,socialblade
2,subscribers,B+,AH,entertainment,1845,30M,4122346818,https://socialblade.com/youtube/channel/UCaKLg1ELiX0zTJ6Je3c5esA,2022-09-18T03:46:29+00Z,socialblade
3,subscribers,B+,Jess No Limit,games,1939,24.9M,3088926120,https://socialblade.com/youtube/channel/UCvh1at6xpV1ytYOAzxmqUsA,2022-09-18T03:46:29+00Z,socialblade
4,subscribers,B+,Rans Entertainment,entertainment,3128,24.2M,5776567716,https://socialblade.com/youtube/channel/UCvA9_f5Lwk-poMynabtrZPg,2022-09-18T03:46:29+00Z,socialblade
5,subscribers,A-,TRANS7 OFFICIAL,entertainment,80019,23.5M,12663152510,https://socialblade.com/youtube/channel/UC24_Z2L-8Ki183AI9zJJzNQ,2022-09-18T03:46:29+00Z,socialblade
6,subscribers,A-,Frost Diamond,games,2245,22.6M,5487111495,https://socialblade.com/youtube/channel/UC4hGmH5sABOA70D4fGb8qNQ,2022-09-18T03:46:29+00Z,socialblade
7,subscribers,A,Indosiar,entertainment,59970,21.4M,10539037076,https://socialblade.com/youtube/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A,2022-09-18T03:46:29+00Z,socialblade
8,subscribers,B+,Baim Paula,entertainment,1993,20.8M,4293148459,https://socialblade.com/youtube/channel/UC5xAPCVizxOfnMECMXkal2Q,2022-09-18T03:46:29+00Z,socialblade
9,subscribers,A-,Deddy Corbuzier,entertainment,1159,19.5M,4218525257,https://socialblade.com/youtube/channel/UCYk4LJI0Pr6RBDWowMm-KUw,2022-09-18T03:46:29+00Z,socialblade
10,subscribers,A-,BabyBus - Cerita & Lagu Anak-anak,education,688,18.5M,10486495546,https://socialblade.com/youtube/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,2022-09-18T03:46:29+00Z,socialblade
11,subscribers,B+,MiawAug,games,3333,18.3M,5329027452,https://socialblade.com/youtube/channel/UC3J4Q1grz46bdJ7NJLd4DGw,2022-09-18T03:46:29+00Z,socialblade
12,subscribers,B,GEN HALILINTAR,entertainment,982,18.1M,3197064144,https://socialblade.com/youtube/channel/UCfRNJiafEm1LBBGFTTq4cXw,2022-09-18T03:46:29+00Z,socialblade
13,subscribers,B+,Naisa Alifia Yuriza (N.A.Y),entertainment,1472,17.9M,2583585614,https://socialblade.com/youtube/channel/UCtjFp8VXWIscsqQ2wokpo3Q,2022-09-18T03:46:29+00Z,socialblade
